[2024-11-29 00:51:12,019] [INFO] - rest_app - Func:hello - Line:9 - injected: atom
[2024-11-29 00:53:19,798] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,802] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,804] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,807] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,810] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,812] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,815] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,828] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,831] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:53:19,834] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:15,832] [INFO] - rest_app - Func:hello - Line:9 - injected: atom
[2024-11-29 00:55:27,082] [INFO] - rest_app - Func:hello - Line:9 - injected: atom
[2024-11-29 00:55:54,357] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,361] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,364] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,367] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,370] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,372] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,376] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,378] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,381] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:55:54,383] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,674] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,678] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,680] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,684] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,687] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,690] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,693] [INFO] - rest_app - Func:hello - Line:9 - injected: test
[2024-11-29 00:56:53,696] [INFO] - rest_app - Func:hello - Line:9 - injected: test
